0001100010
0111110111
0000000111
0010011011
0001000110
0100000010
1101100000
0011111011
0001110101
0000000110
1001000010
1010110100
0101101111
0010001011
1100101001
0111101010
0011011000
1010100110
1111101111
0010110110
0101100011
0011001100
1001101110
0111010001
1101110101
0000011100
1011010010
1001010001
1100001100
1110001101
1001000111
1000010011
0011010101
0000001001
1101010100
0010100110
0001001100
0000110111
1101010110
0111101001
0111011011
1011110110
0010101011
0001100100
1111110000
0110011011
1000110000
1100011100
0011101111
1101100110
0110000101
0111110011
0101001100
1000100110
0101011001
0111010111
1011110000
0101100101
1001001100
0011100111
0011111111
0100011001
1010111000
1100100111

0000000000: []
0000000001: [2, 9]
0010010111: [13, 25]
0010011000: [1, 12]
0010011001: [0, 7]
0010011010: [18, 24]
0010011011: [3]
0010011100: [2, 3]
0010011101: [3, 9]
0010011110: [4, 16]
0010011111: [7, 43]
0010100000: [8, 32]
0010100001: [2, 35]
0010100010: [33, 42]
0010100011: [36, 48]
0010100100: [14, 29]
0010100101: [39, 52]
0010100110: [35]
0010100111: [11, 31]
0010101000: [21, 43]
0010101001: [4, 48]
0010101010: [19, 25]
0010101011: [42]
0010101100: [3, 37]
0010101101: [8, 16]
0010101110: [0, 21]
0010101111: [33, 35]
0010110000: [9, 19]
0010110001: [2, 19]
0010110010: [20, 23]
0010110011: [15, 54]
0010110100: [12, 40]
0010110101: [17, 31]
0010110110: [19]
0010110111: [0, 32]
0010111000: [20, 40]
0010111001: [8, 21]
0010111010: [0, 16]
0010111011: [18, 34]
0010111100: [22, 26]
0010111101: [4, 7]
0010111110: [12, 23]
0010111111: [19, 33]
0011000000: [46, 56]
0011000001: [26, 31]
0011000010: [35, 43]
0011000011: [8, 19]
0011000100: [16, 25]
0011000101: [21, 33]
0011000110: [14, 18]
0011000111: [13, 36]
0011001000: [17, 22]
0011001001: [25, 32]
0011001010: [9, 21]
0011001011: [2, 21]
0011001100: [21]
0011001101: [4, 13]
0011001110: [55, 61]
0011001111: [42, 43]
0011010000: [21, 25]
0011010001: [16, 33]
0011010010: [2, 32]
0011010011: [5, 23]
0011010100: [0, 19]
0011010101: [32]
0011010110: [53, 56]
0011010111: [3, 36]
0011011000: [16]
0011011001: [29, 34]
0011011010: [11, 22]
0011011011: [29, 38]
0011011100: [32, 33]
0011011101: [3, 4]
0011011110: [9, 16]
0011011111: [2, 16]
0011100000: [4, 35]
0011100001: [17, 30]
0011100010: [32, 37]
0011100011: [18, 28]
0011100100: [10, 17]
0011100101: [11, 27]
0011100110: [33, 48]
0011100111: [7, 25]
0011101000: [5, 15]
0011101001: [0, 13]
0011101010: [35, 36]
0011101011: [5, 39]
0011101100: [44, 47]
0011101101: [6, 29]
0011101110: [3, 8]
0011101111: [16, 37]
0011110000: [4, 19]
0011110001: [5, 51]
0011110010: [7, 33]
0011110011: [11, 30]
0011110100: [12, 45]
0011110101: [1, 5]
0011110110: [10, 11]
0011110111: [17, 27]
0011111000: [24, 29]
0011111001: [0, 3]
0011111010: [19, 36]
0011111011: [7]
0011111100: [2, 7]
0011111101: [7, 9]
0011111110: [8, 13]
0011111111: [3, 43]
0100000000: [3, 45]
0100000001: [0, 20]
0100000010: [5]
0100000011: [16, 40]
0100000100: [5, 9]
0100000101: [2, 5]
0100000110: [41, 44]
0100000111: [27, 38]
0100001000: [22, 49]
0100001001: [16, 23]
0100001010: [4, 52]
0100001011: [5, 33]
0100001100: [1, 7]
0100001101: [0, 12]
0100001110: [6, 22]
0100001111: [31, 47]
0100010000: [13, 45]
0100010001: [7, 15]
0100010010: [7, 39]
0100010011: [30, 34]
0100010100: [10, 38]
0100010101: [36, 54]
0100010110: [8, 20]
0100010111: [21, 40]
0100011000: [1, 48]
0100011001: [18, 41]
0100011010: [8, 12]
0100011011: [22, 24]
0100011100: [48, 51]
0100011101: [21, 23]
0100011110: [5, 25]
0100011111: [28, 31]
0100100000: [7, 40]
0100100001: [30, 49]
0100100010: [6, 10]
0100100011: [12, 36]
0100100100: [24, 27]
0100100101: [4, 20]
0100100110: [15, 21]
0100100111: [6, 30]
0100101000: [43, 52]
0100101001: [4, 12]
0100101010: [7, 23]
0100101011: [17, 29]
0100101100: [46, 47]
0100101101: [19, 45]
0100101110: [42, 50]
0100101111: [1, 16]
0100110000: [42, 45]
0100110001: [6, 27]
0100110010: [15, 16]
0100110011: [19, 50]
0100110100: [40, 48]
0100110101: [5, 37]
0100110110: [23, 59]
0100110111: [10, 24]
0100111000: [22, 38]
0100111001: [11, 29]
0100111010: [14, 31]
0100111011: [1, 21]
0100111100: [32, 39]
0100111101: [18, 26]
0100111110: [23, 48]
0100111111: [15, 32]
0101000000: [3, 40]
0101000001: [1, 19]
0101000010: [39, 42]
0101000011: [16, 45]
0101000100: [4, 5]
0101000101: [31, 38]
0101000110: [6, 53]
0101000111: [14, 22]
0101001000: [44, 62]
0101001001: [17, 18]
0101001010: [3, 23]
0101001011: [28, 30]
0101001100: [15, 35]
0101001101: [27, 47]
0101001110: [10, 28]
0101001111: [35, 39]
0101010000: [13, 40]
0101010001: [1, 35]
0101010010: [37, 57]
0101010011: [24, 53]
0101010100: [20, 37]
0101010101: [35, 51]
0101010110: [17, 44]
0101010111: [21, 45]
0101011000: [12, 37]
0101011001: [54]
0101011010: [13, 23]
0101011011: [11, 18]
0101011100: [15, 19]
0101011101: [27, 28]
0101011110: [10, 47]
0101011111: [26, 29]
0101100000: [0, 5]
0101100001: [13, 15]
0101100010: [22, 28]
0101100011: [20]
0101100100: [2, 20]
0101100101: [9, 20]
0101100110: [24, 31]
0101100111: [19, 23]
0101101000: [2, 12]
0101101001: [9, 12]
0101101010: [20, 33]
0101101011: [10, 14]
0101101100: [1, 3]
0101101101: [19, 40]
0101101110: [14, 30]
0101101111: [12]
0101110000: [40, 42]
0101110001: [3, 15]
0101110010: [3, 39]
0101110011: [12, 25]
0101110100: [45, 48]
0101110101: [31, 49]
0101110110: [27, 63]
0101110111: [5, 8]
0101111000: [14, 27]
0101111001: [25, 57]
0101111010: [23, 42]
0101111011: [29, 41]
0101111100: [1, 13]
0101111101: [35, 40]
0101111110: [7, 50]
0101111111: [20, 25]
0110000000: [12, 48]
0110000001: [18, 22]
0110000010: [1, 8]
0110000011: [24, 41]
0110000100: [26, 38]
0110000101: [50]
0110000110: [26, 34]
0110000111: [25, 45]
0110001000: [0, 15]
0110001001: [5, 13]
0110001010: [48, 57]
0110001011: [0, 39]
0110001100: [20, 48]
0110001101: [39, 43]
0110001110: [15, 43]
0110001111: [14, 17]
0110010000: [41, 49]
0110010001: [0, 51]
0110010010: [33, 45]
0110010011: [1, 43]
0110010100: [7, 12]
0110010101: [0, 1]
0110010110: [6, 41]
0110010111: [4, 23]
0110011000: [7, 20]
0110011001: [3, 5]
0110011010: [57, 60]
0110011011: [45]
0110011100: [8, 39]
0110011101: [11, 14]
0110011110: [29, 31]
0110011111: [8, 15]
0110100000: [38, 41]
0110100001: [27, 44]
0110100010: [34, 41]
0110100011: [12, 21]
0110100100: [8, 23]
0110100101: [36, 39]
0110100110: [15, 36]
0110100111: [24, 26]
0110101000: [18, 30]
0110101001: [5, 42]
0110101010: [17, 28]
0110101011: [29, 53]
0110101100: [4, 15]
0110101101: [10, 18]
0110101110: [8, 40]
0110101111: [20, 21]
0110110000: [32, 57]
0110110001: [1, 4]
0110110010: [6, 26]
0110110011: [0, 23]
0110110100: [5, 19]
0110110101: [23, 43]
0110110110: [20, 32]
0110110111: [12, 16]
0110111000: [11, 28]
0110111001: [0, 40]
0110111010: [12, 32]
0110111011: [16, 20]
0110111100: [44, 58]
0110111101: [29, 46]
0110111110: [18, 27]
0110111111: [40, 43]
0111000000: [1, 37]
0111000001: [11, 24]
0111000010: [3, 54]
0111000011: [4, 50]
0111000100: [12, 42]
0111000101: [20, 35]
0111000110: [6, 17]
0111000111: [25, 40]
0111001000: [20, 42]
0111001001: [12, 35]
0111001010: [29, 30]
0111001011: [25, 55]
0111001100: [32, 61]
0111001101: [23, 25]
0111001110: [5, 21]
0111001111: [10, 29]
0111010000: [2, 55]
0111010001: [23]
0111010010: [33, 40]
0111010011: [17, 24]
0111010100: [6, 11]
0111010101: [19, 20]
0111010110: [2, 23]
0111010111: [9, 23]
0111011000: [23, 33]
0111011001: [12, 19]
0111011010: [5, 16]
0111011011: [40]
0111011100: [27, 29]
0111011101: [15, 37]
0111011110: [26, 28]
0111011111: [14, 41]
0111100000: [11, 34]
0111100001: [43, 50]
0111100010: [11, 38]
0111100011: [22, 29]
0111100100: [12, 13]
0111100101: [5, 59]
0111100110: [23, 37]
0111100111: [0, 50]
0111101000: [13, 20]
0111101001: [39]
0111101010: [15]
0111101011: [1, 25]
0111101100: [9, 15]
0111101101: [2, 15]
0111101110: [2, 39]
0111101111: [9, 39]
0111110000: [1, 2]
0111110001: [1, 9]
0111110010: [17, 34]
0111110011: [51]
0111110100: [3, 12]
0111110101: [25, 39]
0111110110: [15, 25]
0111110111: [1]
0111111000: [3, 20]
0111111001: [5, 7]
0111111010: [28, 41]
0111111011: [14, 26]
0111111100: [18, 31]
0111111101: [5, 60]
0111111110: [1, 33]
0111111111: [43, 45]
1000000000: [17, 35]
1000000001: [4, 30]
1000000010: [11, 19]
1000000011: [6, 20]
1000000100: [4, 10]
1000000101: [15, 18]
1000000110: [18, 39]
1000000111: [26, 32]
1000001000: [29, 50]
1000001001: [12, 49]
1000001010: [16, 26]
1000001011: [30, 36]
1000001100: [0, 22]
1000001101: [7, 41]
1000001110: [5, 28]
1000001111: [6, 12]
1000010000: [17, 19]
1000010001: [37, 53]
1000010010: [11, 35]
1000010011: [31]
1000010100: [2, 31]
1000010101: [9, 31]
1000010110: [20, 24]
1000010111: [4, 27]
1000011000: [1, 18]
1000011001: [39, 44]
1000011010: [12, 24]
1000011011: [8, 22]
1000011100: [18, 51]
1000011101: [27, 36]
1000011110: [21, 26]
1000011111: [11, 42]
1000100000: [0, 10]
1000100001: [23, 44]
1000100010: [22, 36]
1000100011: [32, 41]
1000100100: [8, 27]
1000100101: [0, 30]
1000100110: [10, 43]
1000100111: [44, 55]
1000101000: [4, 22]
1000101001: [7, 26]
1000101010: [49, 52]
1000101011: [5, 14]
1000101100: [25, 46]
1000101101: [13, 17]
1000101110: [16, 41]
1000101111: [3, 11]
1000110000: [46]
1000110001: [34, 57]
1000110010: [8, 30]
1000110011: [0, 27]
1000110100: [18, 40]
1000110101: [20, 38]
1000110110: [9, 46]
1000110111: [8, 10]
1000111000: [18, 55]
1000111001: [12, 38]
1000111010: [21, 41]
1000111011: [12, 34]
1000111100: [21, 56]
1000111101: [3, 17]
1000111110: [18, 23]
1000111111: [11, 13]
1001000000: [2, 30]
1001000001: [9, 30]
1001000010: [10]
1001000011: [7, 62]
1001000100: [9, 10]
1001000101: [2, 10]
1001000110: [12, 14]
1001000111: [30]
1001001000: [12, 63]
1001001001: [3, 26]
1001001010: [14, 20]
1001001011: [10, 33]
1001001100: [14, 57]
1001001101: [25, 27]
1001001110: [30, 33]
1001001111: [7, 11]
1001010000: [35, 41]
1001010001: [27]
1001010010: [0, 46]
1001010011: [8, 53]
1001010100: [5, 38]
1001010101: [4, 31]
1001010110: [2, 27]
1001010111: [9, 27]
1001011000: [27, 33]
1001011001: [13, 26]
1001011010: [29, 55]
1001011011: [25, 30]
1001011100: [23, 29]
1001011101: [7, 17]
1001011110: [10, 25]
1001011111: [31, 36]
1001100000: [4, 53]
1001100001: [11, 32]
1001100010: [5, 6]
1001100011: [12, 28]
1001100100: [19, 26]
1001100101: [14, 52]
1001100110: [8, 31]
1001100111: [15, 29]
1001101000: [9, 22]
1001101001: [2, 22]
1001101010: [17, 21]
1001101011: [44, 45]
1001101100: [11, 16]
1001101101: [3, 41]
1001101110: [22]
1001101111: [20, 28]
1001110000: [30, 37]
1001110001: [0, 31]
1001110010: [22, 25]
1001110011: [17, 32]
1001110100: [26, 35]
1001110101: [10, 37]
1001110110: [4, 46]
1001110111: [5, 24]
1001111000: [11, 21]
1001111001: [26, 42]
1001111010: [1, 29]
1001111011: [13, 56]
1001111100: [36, 46]
1001111101: [13, 41]
1001111110: [16, 17]
1001111111: [20, 47]
1010000000: [12, 18]
1010000001: [22, 48]
1010000010: [1, 24]
1010000011: [11, 37]
1010000100: [27, 32]
1010000101: [23, 34]
1010000110: [19, 46]
1010000111: [23, 38]
1010001000: [3, 31]
1010001001: [16, 27]
1010001010: [6, 15]
1010001011: [21, 30]
1010001100: [18, 20]
1010001101: [38, 40]
1010001110: [10, 21]
1010001111: [5, 29]
1010010000: [19, 53]
1010010001: [17, 37]
1010010010: [30, 32]
1010010011: [20, 44]
1010010100: [4, 26]
1010010101: [7, 22]
1010010110: [35, 46]
1010010111: [1, 6]
1010011000: [13, 31]
1010011001: [47, 50]
1010011010: [10, 16]
1010011011: [42, 46]
1010011100: [24, 39]
1010011101: [21, 27]
1010011110: [26, 36]
1010011111: [15, 24]
1010100000: [9, 17]
1010100001: [2, 17]
1010100010: [21, 22]
1010100011: [1, 34]
1010100100: [23, 24]
1010100101: [19, 31]
1010100110: [17]
1010100111: [8, 26]
1010101000: [11, 25]
1010101001: [44, 54]
1010101010: [7, 27]
1010101011: [3, 46]
1010101100: [14, 50]
1010101101: [10, 48]
1010101110: [24, 40]
1010101111: [17, 33]
1010110000: [0, 26]
1010110001: [6, 23]
1010110010: [9, 11]
1010110011: [2, 11]
1010110100: [11]
1010110101: [31, 35]
1010110110: [16, 22]
1010110111: [23, 49]
1010111000: [31, 42]
1010111001: [7, 10]
1010111010: [17, 25]
1010111011: [22, 32]
1010111100: [7, 30]
1010111101: [11, 33]
1010111110: [15, 34]
1010111111: [38, 39]
1011000000: [14, 39]
1011000001: [8, 11]
1011000010: [17, 43]
1011000011: [14, 15]
1011000100: [0, 17]
1011000101: [22, 42]
1011000110: [31, 32]
1011000111: [40, 47]
1011001000: [22, 35]
1011001001: [10, 13]
1011001010: [3, 27]
1011001011: [16, 31]
1011001100: [13, 30]
1011001101: [38, 45]
1011001110: [25, 26]
1011001111: [34, 45]
1011010000: [11, 43]
1011010001: [34, 50]
1011010010: [26]
1011010011: [8, 17]
1011010100: [9, 26]
1011010101: [2, 26]
1011010110: [0, 11]
1011010111: [28, 40]
1011011000: [19, 22]
1011011001: [3, 10]
1011011010: [13, 27]
1011011011: [26, 33]
1011011100: [3, 30]
1011011101: [23, 28]
1011011110: [1, 14]
1011011111: [21, 31]
1011100000: [4, 17]
1011100001: [30, 35]
1011100010: [12, 29]
1011100011: [49, 50]
1011100100: [10, 35]
1011100101: [13, 22]
1011100110: [15, 28]
1011100111: [19, 27]
1011101000: [7, 31]
1011101001: [10, 42]
1011101010: [17, 36]
1011101011: [1, 47]
1011101100: [30, 42]
1011101101: [5, 18]
1011101110: [20, 29]
1011101111: [47, 51]
1011110000: [9, 41]
1011110001: [19, 30]
1011110010: [4, 11]
1011110011: [32, 53]
1011110100: [10, 19]
1011110101: [3, 22]
1011110110: [41]
1011110111: [27, 35]
1011111000: [14, 23]
1011111001: [33, 56]
1011111010: [27, 42]
1011111011: [1, 28]
1011111100: [21, 46]
1011111101: [45, 49]
1011111110: [16, 53]
1011111111: [33, 41]
1100000000: [8, 24]
1100000001: [12, 22]
1100000010: [0, 6]
1100000011: [23, 26]
1100000100: [6, 43]
1100000101: [28, 33]
1100000110: [13, 29]
1100000111: [1, 56]
1100001000: [27, 54]
1100001001: [26, 40]
1100001010: [9, 28]
1100001011: [2, 28]
1100001100: [28]
1100001101: [20, 22]
1100001110: [10, 52]
1100001111: [44, 60]
1100010000: [25, 28]
1100010001: [5, 31]
1100010010: [4, 34]
1100010011: [8, 49]
1100010100: [7, 18]
1100010101: [6, 8]
1100010110: [3, 29]
1100010111: [0, 24]
1100011000: [34, 36]
1100011001: [39, 56]
1100011010: [36, 38]
1100011011: [2, 47]
1100011100: [15, 41]
1100011101: [27, 52]
1100011110: [14, 37]
1100011111: [39, 41]
1100100000: [14, 33]
1100100001: [10, 20]
1100100010: [22, 52]
1100100011: [18, 21]
1100100100: [20, 30]
1100100101: [1, 26]
1100100110: [4, 6]
1100100111: [23, 41]
1100101000: [12, 30]
1100101001: [14]
1100101010: [36, 49]
1100101011: [29, 35]
1100101100: [6, 36]
1100101101: [10, 12]
1100101110: [2, 14]
1100101111: [9, 14]
1100110000: [34, 43]
1100110001: [11, 50]
1100110010: [20, 27]
1100110011: [4, 24]
1100110100: [0, 38]
1100110101: [14, 25]
1100110110: [0, 34]
1100110111: [16, 18]
1100111000: [15, 26]
1100111001: [24, 36]
1100111010: [18, 32]
1100111011: [19, 29]
1100111100: [21, 44]
1100111101: [17, 45]
1100111110: [12, 27]
1100111111: [53, 61]
1101000000: [5, 10]
1101000001: [21, 29]
1101000010: [24, 37]
1101000011: [1, 11]
1101000100: [18, 42]
1101000101: [5, 30]
1101000110: [19, 44]
1101000111: [11, 51]
1101001000: [25, 34]
1101001001: [18, 35]
1101001010: [4, 28]
1101001011: [0, 14]
1101001100: [15, 17]
1101001101: [14, 43]
1101001110: [5, 58]
1101001111: [17, 39]
1101010000: [9, 38]
1101010001: [1, 17]
1101010010: [9, 34]
1101010011: [5, 27]
1101010100: [34]
1101010101: [16, 29]
1101010110: [38]
1101010111: [6, 37]
1101011000: [29, 32]
1101011001: [18, 19]
1101011010: [4, 47]
1101011011: [42, 44]
1101011100: [8, 14]
1101011101: [33, 34]
1101011110: [11, 15]
1101011111: [33, 38]
1101100000: [6]
1101100001: [37, 38]
1101100010: [29, 48]
1101100011: [34, 37]
1101100100: [13, 18]
1101100101: [11, 23]
1101100110: [6, 9]
1101100111: [2, 6]
1101101000: [28, 43]
1101101001: [24, 25]
1101101010: [52, 53]
1101101011: [3, 44]
1101101100: [5, 22]
1101101101: [41, 45]
1101101110: [0, 28]
1101101111: [4, 14]
1101110000: [20, 31]
1101110001: [17, 55]
1101110010: [2, 24]
1101110011: [9, 24]
1101110100: [3, 18]
1101110101: [24]
1101110110: [7, 29]
1101110111: [17, 23]
1101111000: [43, 47]
1101111001: [8, 28]
1101111010: [25, 49]
1101111011: [13, 44]
1101111100: [6, 25]
1101111101: [17, 40]
1101111110: [0, 47]
1101111111: [53, 54]
1110000000: [23, 27]
1110000001: [32, 34]
1110000010: [14, 42]
1110000011: [32, 38]
1110000100: [15, 22]
1110000101: [8, 44]
1110000110: [27, 55]
1110000111: [13, 28]
1110001000: [31, 45]
1110001001: [48, 49]
1110001010: [2, 29]
1110001011: [9, 29]
1110001100: [16, 34]
1110001101: [0, 18]
1110001110: [7, 24]
1110001111: [14, 35]
1110010000: [30, 55]
1110010001: [25, 29]
1110010010: [0, 44]
1110010011: [10, 23]
1110010100: [43, 44]
1110010101: [20, 41]
1110010110: [23, 30]
1110010111: [3, 28]
1110011000: [21, 34]
1110011001: [1, 22]
1110011010: [8, 18]
1110011011: [6, 7]
1110011100: [30, 40]
1110011101: [7, 49]
1110011110: [26, 52]
1110011111: [14, 19]
1110100000: [24, 32]
1110100001: [61, 62]
1110100010: [13, 14]
1110100011: [18, 36]
1110100100: [5, 17]
1110100101: [39, 58]
1110100110: [1, 27]
1110100111: [28, 42]
1110101000: [10, 15]
1110101001: [4, 18]
1110101010: [28, 35]
1110101011: [10, 39]
1110101100: [6, 21]
1110101101: [16, 24]
1110101110: [30, 39]
1110101111: [7, 34]
1110110000: [1, 30]
1110110001: [20, 26]
1110110010: [3, 14]
1110110011: [32, 49]
1110110100: [30, 51]
1110110101: [1, 10]
1110110110: [5, 11]
1110110111: [42, 47]
1110111000: [6, 16]
1110111001: [21, 24]
1110111010: [19, 28]
1110111011: [15, 27]
1110111100: [36, 44]
1110111101: [12, 26]
1110111110: [16, 49]
1110111111: [22, 23]
1111000000: [21, 28]
1111000001: [29, 36]
1111000010: [23, 31]
1111000011: [19, 24]
1111000100: [16, 47]
1111000101: [17, 20]
1111000110: [6, 35]
1111000111: [37, 44]
1111001000: [31, 40]
1111001001: [12, 17]
1111001010: [27, 45]
1111001011: [4, 29]
1111001100: [15, 53]
1111001101: [3, 38]
1111001110: [14, 59]
1111001111: [3, 34]
1111010000: [5, 26]
1111010001: [1, 53]
1111010010: [7, 14]
1111010011: [24, 35]
1111010100: [16, 28]
1111010101: [51, 53]
1111010110: [6, 19]
1111010111: [11, 20]
1111011000: [18, 37]
1111011001: [28, 32]
1111011010: [15, 46]
1111011011: [11, 12]
1111011100: [30, 45]
1111011101: [13, 38]
1111011110: [24, 42]
1111011111: [13, 34]
1111100000: [19, 38]
1111100001: [23, 46]
1111100010: [19, 34]
1111100011: [28, 48]
1111100100: [1, 31]
1111100101: [14, 21]
1111100110: [18, 33]
1111100111: [7, 47]
1111101000: [2, 18]
1111101001: [9, 18]
1111101010: [17, 52]
1111101011: [6, 13]
1111101100: [25, 44]
1111101101: [13, 49]
1111101110: [3, 24]
1111101111: [18]
1111110000: [35, 38]
1111110001: [14, 16]
1111110010: [34, 35]
1111110011: [18, 25]
1111110100: [5, 41]
1111110101: [22, 45]
1111110110: [9, 44]
1111110111: [7, 28]
1111111000: [8, 29]
1111111001: [15, 31]
1111111010: [31, 39]
1111111011: [3, 6]
1111111100: [14, 32]
1111111101: [38, 42]
1111111110: [13, 24]
1111111111: [34, 42]
